Here's the updated list of 100 interior architects and furniture designers from the last 50 years:

 Philippe Starck
 Zaha Hadid
 Patricia Urquiola
 Tom Dixon
 Kelly Wearstler
 Marcel Wanders
 Karim Rashid
 Ilse Crawford
 Frank Gehry
 David Chipperfield
 Nate Berkus
 India Mahdavi
 Ilse Crawford
 Ron Arad
 Antonio Todd
 Elie Saab
 Antonio Citterio
 Paola Navone
 Jasper Morrison
 David Rockwell
 Neri Hu
 Toshiyuki Kita
24. Pierre Paulin
25. Martin Brudnizki
26. Rose Uniacke
27. Debbie Berger
28. Humberto Campana
29. Ingrid Donat
30. Michael Graves
31. Patricia Viel
32. Martyn Lawrence Bullard
33. Tadao Ando
34. Marcio Kogan
35. Trina Turk
36. Abigail Ahern
37. Jaime Hayon
38. Kelly Hoppen
39. Stephen Burks
40. Lara Bohinc
41. Wendell Castle
42. Mia Lagerman
43. Ilse Crawford
44. Sasha Bikoff
45. Marc Newson
46. Tara Bernerd
47. Martin Brudnizki
48. Peter Marino
49. Ivo Vitali
50. Sabine Marcelis
51. Vincent Van Duysen
52. Jonathan Adler
53. Piero Lissoni
54. Shigeru Ban
55. Faye Toogood
56. Dimore Studio
57. George Nakashima
58. Maarten Baas
59. Rem Koolhaas
60. Naoto Fukasawa
61. Nendo
62. Gaetano Pesce
63. John Pawson
64. Fernando Mastrangelo
65. Dieter Rams
66. Yves Behar
67. Kelly Behun
68. Mario Bellini
69. Tokujin Yoshioka
70. Charles Zana
71. Marcel Breuer
72. Arik Levy
73. Joris Laarman
74. Konstantin Grcic
75. Ora Ito
76. Suzanne Tick
77. Lee Broom
78. Pietro Russo
79. Ross Lovegrove
80. Doshi Levien
81. Sebastian Herkner
82. Achille Castiglioni
83. Lindsey Adelman
84. Ronan & Erwan Bouroullec
85. Pierre Yovanovitch
86. Ini Archibong
87. Joseph Dirand
88. Afroditi Krassa
89. Hella Jongerius
90. Oki Sato
91. Matteo Thun
92. Michael Anastassiades
93. Christophe Delcourt
94. Bethan Gray
95. Kit Kemp
96. Francis Sultana
97. Oskar Zieta
98. Studio Job
99. Simone Rocha
100. Front Design
